"NAME","OtherWeapon","DestructiveDevice","MachineGun","Silencer","Rifle","Shotgun","Total","month","year"
"Alabama",1166,77283,19390,30849,3765,2234,134687,"02","2016"
"Alaska",322,4651,1652,4213,1333,1268,13439,"02","2016"
"Arkansas",604,45813,5189,14370,2464,1060,69500,"02","2016"
"Arizona",1185,86309,16318,28942,10351,2143,145248,"02","2016"
"California",3884,256420,29516,11702,9472,13423,324417,"02","2016"
"Colorado",961,44598,7111,18689,4859,1660,77878,"02","2016"
"Connecticut",708,12220,37939,8352,3374,983,63576,"02","2016"
"Delaware",32,2748,583,324,184,537,4408,"02","2016"
"Florida",3448,151672,34373,61015,18409,8310,277227,"02","2016"
"Georgia",1929,66433,28497,49357,8132,11175,165523,"02","2016"
"Hawaii",34,6863,410,143,59,62,7571,"02","2016"
"Iowa",876,15398,3495,983,521,965,22238,"02","2016"
"Idaho",641,17172,4039,18176,2437,459,42924,"02","2016"
"Illinois",979,101572,30563,1717,2278,1716,138825,"02","2016"
"Indiana",1615,41343,18880,28395,4709,8816,103758,"02","2016"
"Kansas",704,22580,3667,7715,2276,966,37908,"02","2016"
"Kentucky",1088,30580,13568,22238,2914,1811,72199,"02","2016"
"Louisiana",543,51268,6686,25203,3603,1712,89015,"02","2016"
"Massachusetts",831,15028,6705,6772,2312,981,32629,"02","2016"
"Maryland",998,49865,26074,12340,4102,4068,97447,"02","2016"
"Maine",578,3320,4858,2467,1725,454,13402,"02","2016"
"Michigan",1155,24561,12913,10146,2203,1244,52222,"02","2016"
"Minnesota",2654,42890,9264,5655,2404,1132,63999,"02","2016"
"Missouri",1378,30433,9472,15052,4080,2499,62914,"02","2016"
"Mississippi",426,9628,4220,10589,1747,798,27408,"02","2016"
"Montana",444,3675,2373,7928,1042,438,15900,"02","2016"
"North Carolina",922,84705,11947,24346,6697,2922,131539,"02","2016"
"North Dakota",204,1926,1581,4836,642,271,9460,"02","2016"
"Nebraska",763,6291,2217,6576,1354,810,18011,"02","2016"
"New Hampshire",447,4253,9325,12120,3194,482,29821,"02","2016"
"New Jersey",426,42674,7730,1130,1144,2568,55672,"02","2016"
"New Mexico",302,79180,3847,6159,2080,683,92251,"02","2016"
"Nevada",812,35251,10336,14928,5504,954,67785,"02","2016"
"New York",1632,41055,12210,3466,4594,7449,70406,"02","2016"
"Ohio",1872,78639,19952,30714,6137,5920,143234,"02","2016"
"Oklahoma",1169,16087,9136,32192,3804,1675,64063,"02","2016"
"Oregon",1549,20825,6415,17537,4158,1439,51923,"02","2016"
"Pennsylvania",2115,152262,17989,29742,7779,12835,222722,"02","2016"
"Rhode Island",41,3187,639,29,119,113,4128,"02","2016"
"South Carolina",678,33365,8302,23451,3495,3922,73213,"02","2016"
"South Dakota",352,3761,1718,7320,547,194,13892,"02","2016"
"Tennessee",1599,40466,13855,19736,5438,6010,87104,"02","2016"
"Texas",6740,224498,34848,165499,29509,7487,468581,"02","2016"
"Utah",455,16117,6699,26039,3725,1332,54367,"02","2016"
"Virginia",2854,193728,33199,31205,12665,7705,281356,"02","2016"
"Vermont",223,2548,1122,405,295,130,4723,"02","2016"
"Washington",1855,43287,4229,21797,3967,822,75957,"02","2016"
"Wisconsin",760,30096,7292,11156,3169,1224,53697,"02","2016"
"West Virginia",446,16928,6774,5020,1349,1023,31540,"02","2016"
"Wyoming",303,120899,1774,3744,675,392,127787,"02","2016"
