"ind.GEO.id2","ind.NAME","ind.01.Civilian.16","ind.02.Agriculture.Forestry.Fish.Hunt.Mining","ind.03.Construction","ind.04.Manufacturing","ind.05.Wholesale.Trade","ind.06.Retail.Trade","ind.07.Transportation.Warehousing.Util","ind.08.Information","ind.09.Finance.Insurance.RealEstate","ind.10.Professional.Scientific.Mgmt.Admin.Waste","ind.11.Education.HealthCare.Social","ind.12.Arts.Entertain.Accomodation.FoodService","ind.13.OtherServices","ind.14.PublicAdministration"
"01","Alabama","2040118","34383","128389","291477","51525","241235","108227","33689","111441","196149","459777","171239","106030","106557"
"02","Alaska","354766","18954","25415","11461","7250","38999","27012","6916","12651","30351","83083","34319","16760","41595"
"04","Arizona","2937510","43075","193805","207583","69018","368099","147537","54920","242171","357395","636623","329444","138387","149453"
"05","Arkansas","1271063","41301","81587","177030","30505","174804","70419","20718","57546","91447","309993","97668","59802","58243"
"06","California","18045450","446614","1112236","1715871","528692","1946847","899711","523512","1089370","2390184","3750815","1902121","954804","784673"
"08","Colorado","2765115","71732","218980","190855","71314","312246","126200","81533","190157","380985","571222","289390","138360","122141"
"09","Connecticut","1807098","7149","108227","187997","46464","197043","73296","42062","167826","208216","475215","145994","78505","69104"
"10","Delaware","447516","5106","28858","36264","7362","54829","17915","6759","43739","45324","111772","45372","20336","23880"
"11","District of Columbia","361179","195","9342","5025","1932","18086","9754","14995","22532","83089","70276","35208","31896","58849"
"12","Florida","8990221","101921","641425","461531","251822","1176106","462347","173543","709646","1164180","1873140","1128909","468618","377033"
"13","Georgia","4605633","51889","301380","502776","133581","550395","277731","117589","275184","543839","964170","423122","235504","228473"
"15","Hawaii","675214","9644","53542","20047","17492","77536","38761","11272","46133","67106","132463","107685","32454","61079"
"16","Idaho","744228","38849","49187","70601","20626","88605","36443","13295","37180","73959","173935","70734","35360","35454"
"17","Illinois","6196524","69182","330560","761364","194841","681449","376442","118002","453233","725420","1404791","568748","286454","226038"
"18","Indiana","3119966","46148","184729","593823","84131","359998","157851","51180","166396","258117","693683","279499","141495","102916"
"19","Iowa","1599893","60661","101009","251893","43598","186627","74075","27504","117400","113881","388003","122600","64782","47860"
"20","Kansas","1417069","48367","93008","172643","40356","158309","65055","29915","87721","132944","346269","116489","65139","60854"
"21","Kentucky","1928967","49038","112185","275351","45617","235867","113365","30394","103324","151808","456914","177600","92038","85466"
"22","Louisiana","2037812","85425","161184","159504","51095","233825","103968","32702","105664","186636","481542","217691","108058","110518"
"23","Maine","648414","17435","46879","60634","13645","84900","24790","12550","40583","54109","181454","56483","29605","25347"
"24","Maryland","3031466","13956","204648","139239","61207","300049","138259","65605","179443","470532","702633","268768","162058","325069"
"25","Massachusetts","3522203","13583","190678","317217","80137","374569","129842","84925","259988","475989","990793","320117","155833","128532"
"26","Michigan","4512641","52583","232361","816076","112711","515042","192252","66460","244413","423264","1059969","440253","203191","154066"
"27","Minnesota","2913176","63248","177870","390950","85385","320261","133184","49606","212642","285602","726879","246021","129798","91730"
"28","Mississippi","1206679","34649","82795","164689","31998","143673","70185","14494","56776","81278","292136","115098","54725","64183"
"29","Missouri","2880309","51255","185637","332665","76466","341614","153838","57136","191685","282024","691263","263903","134897","117926"
"30","Montana","489875","34242","45581","20210","11549","55990","22500","9067","26248","39136","118442","50739","24946","31225"
"31","Nebraska","986789","43998","67973","103781","30240","115840","56040","16716","71882","83969","237298","80332","41504","37216"
"32","Nevada","1331796","20942","82523","59517","26949","161712","68982","18642","80795","154984","202212","341021","59490","54027"
"33","New Hampshire","713313","6034","47114","90748","20656","87537","28853","15180","45261","77758","179012","59727","29389","26044"
"34","New Jersey","4374536","14505","257973","349687","151810","494289","254649","121905","371069","579806","1033529","374341","199426","171547"
"35","New Mexico","879807","37116","63790","31495","21356","105213","38361","13988","39444","102638","219477","103738","42255","60936"
"36","New York","9473337","52298","535021","577352","235404","1001975","515243","280858","744778","1104596","2599743","933041","473357","419671"
"37","North Carolina","4550972","55694","329035","569884","118604","536727","193305","81815","288582","486978","1046815","434277","215257","193999"
"38","North Dakota","404589","38380","32190","27497","16179","47045","23354","4835","20660","27754","96621","33377","19069","17628"
"39","Ohio","5489742","59551","275279","851930","149496","644061","277804","90201","357225","511149","1308215","513686","244520","206625"
"40","Oklahoma","1753445","87940","127995","167293","46421","206507","91952","30506","97660","148477","390813","166058","90762","101061"
"41","Oregon","1881255","65512","107737","213118","53318","225153","77274","34847","101452","212773","433669","184591","88104","83707"
"42","Pennsylvania","6109670","89640","346372","741110","174256","701437","330474","99582","381785","630352","1562965","526093","283360","242244"
"44","Rhode Island","524975","2182","27396","60010","16246","61602","19422","8301","33971","48899","143781","58377","23162","21626"
"45","South Carolina","2165702","22037","138903","301688","57417","263192","100414","40960","126989","215323","470753","221811","111964","94251"
"46","South Dakota","436852","29093","32182","45422","12632","45981","19976","6577","30383","28537","106014","41711","19241","19103"
"47","Tennessee","2998814","28833","178799","390879","81434","370274","193532","54708","171030","297811","672449","286287","153214","119564"
"48","Texas","12693901","434422","1032811","1102394","385618","1483751","727529","228993","831946","1444739","2692663","1158080","654384","516571"
"49","Utah","1414337","27880","95518","160034","39870","174176","63254","30519","95405","167707","294547","130400","63294","71733"
"50","Vermont","327841","7978","23105","35990","7070","37554","11140","7587","15579","28190","92695","31142","14035","15776"
"51","Virginia","4081600","41564","264211","292968","80107","440930","170067","82960","262304","600339","893646","372891","222770","356843"
"53","Washington","3397974","90552","220035","350048","97515","398511","184739","74707","184280","423282","725258","315472","160199","173376"
"54","West Virginia","738438","30840","46635","54976","16555","90100","39036","10825","29253","59098","211493","69272","30674","49681"
"55","Wisconsin","2959655","70472","166958","545817","77350","336036","129628","45447","178380","242636","684079","262062","120893","99897"
"56","Wyoming","295328","38111","21473","12181","5422","35044","16963","4279","11271","18985","65559","33510","13768","18762"
"72","Puerto Rico","1026611","14314","51357","93580","28589","137381","34860","19382","56185","105208","242293","97181","55219","91062"
