"work.GEO.id2","work.NAME","work.01.Civilian.16","work.02.Private.ForProfit","work.03.Private.ForProfit.Employee","work.04.Private.ForProfit.Self.Inc","work.05.Private.NonProfit","work.06.LocalGov","work.07.StateGov","work.08.FederalGov","work.09.Self.Employed"
"01","Alabama","2040118","1498462","1442681","55781","134472","128847","110210","63965","104162"
"02","Alaska","354766","208677","196887","11790","35807","32085","30579","24432","23186"
"04","Arizona","2937510","2177404","2073252","104152","179523","187346","139265","78702","175270"
"05","Arkansas","1271063","897620","861443","36177","92128","69361","101967","27214","82773"
"06","California","18045450","12960293","12360327","599966","1178814","1350956","729029","322124","1504234"
"08","Colorado","2765115","2009628","1877058","132570","216255","175392","113979","71204","178657"
"09","Connecticut","1807098","1282453","1220926","61527","170515","134114","79113","25074","115829"
"10","Delaware","447516","328645","312049","16596","36823","14469","39250","9605","18724"
"11","District of Columbia","361179","187897","178451","9446","67838","18079","7493","62412","17460"
"12","Florida","8990221","6858211","6332977","525234","548928","610017","251290","169215","552560"
"13","Georgia","4605633","3389014","3211140","177874","281030","319712","222212","136911","256754"
"15","Hawaii","675214","439563","416124","23439","51886","24307","62348","47764","49346"
"16","Idaho","744228","519839","490456","29383","55706","50458","39669","19575","58981"
"17","Illinois","6196524","4642185","4423355","218830","541226","400068","224011","98568","290466"
"18","Indiana","3119966","2383607","2289963","93644","269685","171130","110391","42907","142246"
"19","Iowa","1599893","1148843","1097983","50860","139749","97279","88605","22383","103034"
"20","Kansas","1417069","1004542","953801","50741","114574","102232","79134","29739","86848"
"21","Kentucky","1928967","1398701","1342425","56276","150829","101515","127677","47101","103144"
"22","Louisiana","2037812","1489660","1413223","76437","125358","146011","115106","46734","114943"
"23","Maine","648414","424528","398631","25897","81674","42437","27230","14343","58202"
"24","Maryland","3031466","1941825","1836175","105650","295263","226451","123457","298557","145913"
"25","Massachusetts","3522203","2447803","2349474","98329","449411","237353","122188","54154","211294"
"26","Michigan","4512641","3399908","3248796","151112","426684","224233","180078","61496","220242"
"27","Minnesota","2913176","2088972","1976098","112874","336004","181084","108954","36784","161378"
"28","Mississippi","1206679","855812","816664","39148","71128","67030","111414","38113","63182"
"29","Missouri","2880309","2063558","1976490","87068","305236","160482","122826","64217","163990"
"30","Montana","489875","306411","276407","30004","46174","38953","34848","16728","46761"
"31","Nebraska","986789","696019","660636","35383","91819","65664","49528","19939","63820"
"32","Nevada","1331796","1063460","1023312","40148","46704","82641","40610","28663","69718"
"33","New Hampshire","713313","497491","475296","22195","77457","50275","26439","14777","46874"
"34","New Jersey","4374536","3288446","3118605","169841","288832","303806","202831","70902","219719"
"35","New Mexico","879807","568472","538306","30166","65112","74540","68791","45788","57104"
"36","New York","9473337","6513917","6158371","355546","968088","862011","403652","156470","569199"
"37","North Carolina","4550972","3320582","3162549","158033","311941","243226","302670","105573","266980"
"38","North Dakota","404589","269626","256475","13151","42030","28078","20465","11379","33011"
"39","Ohio","5489742","4039723","3891505","148218","501858","371514","190065","99457","287125"
"40","Oklahoma","1753445","1243674","1179700","63974","117491","96119","120479","67269","108413"
"41","Oregon","1881255","1303535","1228312","75223","178120","117111","100119","40106","142264"
"42","Pennsylvania","6109670","4454103","4287443","166660","716100","310216","198009","119585","311657"
"44","Rhode Island","524975","379430","363007","16423","56733","31689","20080","11327","25716"
"45","South Carolina","2165702","1594060","1528453","65607","134379","117275","153389","46871","119728"
"46","South Dakota","436852","287471","269240","18231","49986","29876","19450","12476","37593"
"47","Tennessee","2998814","2163615","2101951","61664","227718","211347","122380","70495","203259"
"48","Texas","12693901","9514246","9169433","344813","696458","796722","573461","270169","842845"
"49","Utah","1414337","1037714","978244","59470","107945","79504","78436","43254","67484"
"50","Vermont","327841","203291","189015","14276","50871","21815","15442","7592","28830"
"51","Virginia","4081600","2743044","2607058","135986","322364","304109","168006","335425","208652"
"53","Washington","3397974","2388787","2254443","134344","268391","218761","210105","104305","207625"
"54","West Virginia","738438","510776","496176","14600","57757","51615","58889","25660","33741"
"55","Wisconsin","2959655","2178590","2088628","89962","263330","191280","130265","38084","158106"
"56","Wyoming","295328","198145","185501","12644","19183","30796","21701","6677","18826"
"72","Puerto Rico","1026611","654478","630497","23981","46494","59460","149671","19502","97006"
